Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C9",0603,3,10u,C380316
"C11, C8",0603,2,100n,C282519
C13,0603,1,1u,C1592
"C4, C5",1206,2,22u,C12891
C6,1206,1,10u,C47971
C7,0603,1,2.2u,C2691406
"D2, D3",0603,2,LED,C965799
D4,D_SMA,1,SS14,C2480
"H1, H2, H3, H4",MountingHole_3.2mm_M3_ISO14580_Pad,4,MountingHole,
"J1, J13, J3",JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,3,JST XH,C27910
J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle,C2765186
L1,L_Wuerth_WE-TPC-3816,1,4.7u,C2879693
"R1, R17, R3, R4, R7",0603,5,5.1K,C2907114
R11,0603,1,47k,C2907173
"SW1, SW2",SW_SPST_CK_RS282G05A3,2,SW_Push,C2888455
SW3,SW_Slide_SPDT_Straight_CK_OS102011MS2Q,1,SW_SPDT,C2939725
U1,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,1,DRV8833PWP,C50506
U2,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913198
U3,TSOT-23-6,1,AP63203WU,C780769
